	city	cloudiness	country	date	humidity	lat	lng	temp_max	wind speed
0	Kushiro	75	JP	1504940400	88	42.98	144.37	64.4	5.82
1	Carauari	36	BR	1504946081	96	-4.88	-66.9	72.63	2.62
2	Albany	1	US	1504943640	93	42.65	-73.76	53.6	5.82
3	Port Alfred	64	ZA	1504946081	86	-33.59	26.89	64.71	3.18
4	Kirillov	8	RU	1504946081	95	59.86	38.38	57.96	10.11
5	Grand Gaube	75	MU	1504944000	73	-20.01	57.66	75.2	18.34
6	Balclutha	20	NZ	1504946082	69	-46.23	169.75	41.76	14.25
7	Comodoro Rivadavia	0	AR	1504944000	100	-45.87	-67.5	35.6	3.36
8	Sola	68	VU	1504946082	94	-13.88	167.55	80.64	1.72
9	East London	40	ZA	1504945080	64	-33.02	27.91	69.8	5.82
10	Saskylakh	64	RU	1504946083	86	71.92	114.08	38.79	12.35
11	Vardo	0	NO	1504946083	99	70.37	31.11	48.42	25.32
12	Dingle	20	PH	1504944000	66	11.0	122.67	91.4	13.87
13	Itoman	40	JP	1504944000	74	26.12	127.67	91.4	6.93
14	Varnek	56	RU	1504946084	98	69.71	60.05	42.57	18.39
15	Cape Town	20	ZA	1504944000	63	-33.93	18.42	62.6	17.22
16	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
17	Muscat	0	OM	1504945820	72	23.61	58.59	90.72	2.51
18	Okha	92	RU	1504946085	91	53.57	142.95	56.97	4.18
19	Serui	64	ID	1504946085	99	-1.88	136.23	81.72	4.52
20	Joshimath	24	IN	1504946086	80	30.57	79.57	41.58	1.28
21	Thompson	40	CA	1504944000	72	55.74	-97.86	59.0	5.82
22	Atuona	80	PF	1504946086	100	-9.8	-139.03	80.19	16.26
23	Bunia	88	CD	1504946086	100	1.57	30.25	68.58	1.83
24	Mathura	40	IN	1504942200	47	27.5	77.68	96.8	8.05
25	Biankouma	8	CI	1504946087	93	7.74	-7.61	73.08	3.62
26	Cherskiy	68	RU	1504946087	90	68.75	161.3	39.33	3.29
27	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
28	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
29	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
30	Hermanus	8	ZA	1504946088	65	-34.42	19.23	61.11	3.74
31	Peniche	75	PT	1504944000	88	39.36	-9.38	66.2	10.29
32	Kabakovo	75	RU	1504944000	77	54.54	56.15	59.0	11.18
33	Palmer	20	US	1504944900	93	42.16	-72.33	53.6	4.41
34	Tasiilaq	92	GL	1504943400	91	65.61	-37.64	41.0	24.16
35	Cape Town	20	ZA	1504944000	63	-33.93	18.42	62.6	17.22
36	Grand Gaube	75	MU	1504944000	73	-20.01	57.66	75.2	18.34
37	Puerto Ayora	80	EC	1504946090	100	-0.74	-90.35	67.41	11.68
38	Sept-Iles	75	CA	1504944000	87	50.2	-66.38	51.8	6.93
39	Narsaq	90	GL	1504943400	39	60.92	-46.05	48.2	12.75
40	Hithadhoo	8	MV	1504946091	100	-0.6	73.08	83.52	11.56
41	Bud	40	US	1504944900	72	39.45	-86.18	60.8	6.93
42	Meadow Lake	1	US	1504944900	42	34.8	-106.54	71.6	5.82
43	Alofi	44	NU	1504944000	88	-19.06	-169.92	73.4	4.7
44	Lompoc	90	US	1504943880	82	34.64	-120.46	64.4	4.7
45	Fortuna	90	US	1504943700	100	40.6	-124.16	59.0	5.82
46	Rudnik	88	RU	1504946093	83	69.75	61.65	40.86	16.04
47	Salalah	75	OM	1504943400	62	17.02	54.09	86.0	12.75
48	Corning	90	US	1504943760	100	42.14	-77.05	51.8	3.36
49	Bluff	68	NZ	1504946093	100	-46.6	168.33	47.88	10.78
50	Busselton	24	AU	1504946094	95	-33.65	115.33	62.82	10.78
51	Ribeira Grande	40	PT	1504944000	73	38.52	-28.7	69.8	8.05
52	Hentiesbaai	68	NA	1504946094	85	-22.12	14.28	64.44	3.96
53	Bredasdorp	48	ZA	1504944000	59	-34.53	20.04	62.6	3.62
54	Necochea	88	AR	1504946095	99	-38.55	-58.74	46.89	7.99
55	Bredasdorp	48	ZA	1504944000	59	-34.53	20.04	62.6	3.62
56	Belaya Gora	92	RU	1504946095	100	68.53	146.42	38.07	5.41
57	Komatipoort	0	ZA	1504946096	71	-25.43	31.95	79.38	6.98
58	Hobart	20	AU	1504944000	53	-42.88	147.33	51.8	12.75
59	Puerto Escondido	88	MX	1504946096	100	15.85	-97.07	78.84	4.74
60	Ilhabela	20	BR	1504946050	98	-23.78	-45.36	67.59	5.64
61	Ólafsvík	80	IS	1504946097	100	64.89	-23.71	48.87	1.16
62	Puerto Ayora	80	EC	1504946090	100	-0.74	-90.35	67.41	11.68
63	Alice Springs	0	AU	1504944000	9	-23.7	133.88	77.0	11.41
64	Eureka	90	US	1504943700	100	40.8	-124.16	59.0	4.52
65	Thinadhoo	8	MV	1504946098	99	0.53	72.93	84.6	14.14
66	Touros	0	BR	1504946098	96	-5.2	-35.46	72.72	13.13
67	Valenzuela	75	PH	1504944000	66	14.57	121.03	91.4	6.93
68	Greenville	90	US	1504944600	100	35.61	-77.37	57.2	7.2
69	Noumea	0	NC	1504944000	63	-22.28	166.46	66.2	3.36
70	Barcelona	75	ES	1504944000	73	41.39	2.16	71.6	6.42
71	Port-Gentil	40	GA	1504944000	83	-0.72	8.78	80.6	10.29
72	Mahebourg	75	MU	1504944000	73	-20.41	57.7	75.2	18.34
73	Bondo	8	CD	1504946100	80	3.81	23.69	82.08	2.84
74	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
75	Amparihy	20	MG	1504944000	65	-25.02	46.97	77.0	28.86
76	Petrovsk-Zabaykalskiy	92	RU	1504946101	100	51.27	108.84	47.34	6.98
77	Matamoros	56	MX	1504946101	46	25.53	-103.25	71.1	10.22
78	Moerai	12	PF	1504946101	100	-22.43	-151.33	71.55	8.77
79	Havoysund	20	NO	1504943400	73	71.0	24.66	44.6	14.99
80	Lagoa	68	PT	1504946102	100	39.05	-27.98	71.19	9.55
81	Carnarvon	0	AU	1504946102	79	-24.87	113.63	70.11	6.98
82	Inta	24	RU	1504946102	74	66.03	60.17	43.11	5.41
83	Puerto Ayora	80	EC	1504946090	100	-0.74	-90.35	67.41	11.68
84	Bilibino	44	RU	1504946103	93	68.05	166.44	41.04	2.73
85	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
86	Albany	1	US	1504943640	93	42.65	-73.76	53.6	5.82
87	Hasaki	75	JP	1504942200	57	35.73	140.83	78.8	10.29
88	Saskylakh	64	RU	1504946083	86	71.92	114.08	38.79	12.35
89	Gyanpur	8	IN	1504946104	81	25.35	82.47	91.26	8.55
90	Bilimbay	90	RU	1504944000	100	56.97	59.81	50.0	8.95
91	Paamiut	44	GL	1504946105	100	61.99	-49.67	38.79	25.1
92	Cape Town	20	ZA	1504944000	63	-33.93	18.42	62.6	17.22
93	Cumra	0	TR	1504943400	19	37.57	32.77	78.8	4.7
94	Morgan City	1	US	1504943760	93	29.7	-91.21	66.2	8.05
95	Busselton	24	AU	1504946094	95	-33.65	115.33	62.82	10.78
96	Sao Filipe	0	CV	1504946106	100	14.9	-24.5	79.74	10.22
97	Hilo	90	US	1504944480	94	19.73	-155.09	71.6	5.82
98	Mathura	40	IN	1504942200	47	27.5	77.68	96.8	8.05
99	Arraial do Cabo	0	BR	1504946106	93	-22.97	-42.03	68.58	19.51
100	Sitka	90	US	1504944120	100	57.05	-135.33	53.6	4.7
101	Albany	1	US	1504943640	93	42.65	-73.76	53.6	5.82
102	Yar-Sale	56	RU	1504946107	100	66.83	70.83	44.91	17.16
103	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
104	Ampara	80	LK	1504946108	90	7.28	81.67	81.45	4.18
105	Chokurdakh	80	RU	1504946108	80	70.63	147.92	36.18	8.66
106	Grande Riviere Sud Est	75	MU	1504944000	73	-20.29	57.78	75.2	18.34
107	Nizhnekamsk	75	RU	1504944000	87	55.64	51.82	55.4	11.18
108	Faanui	8	PF	1504946109	100	-16.48	-151.75	79.38	10.0
109	Tigil	0	RU	1504946110	79	57.8	158.67	57.51	10.22
110	Pacific Grove	90	US	1504943700	93	36.62	-121.92	62.6	5.82
111	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
112	Katsuura	75	JP	1504944000	65	35.13	140.3	80.6	14.99
113	Pascagoula	1	US	1504943880	77	30.37	-88.56	69.8	8.05
114	Touros	0	BR	1504946098	96	-5.2	-35.46	72.72	13.13
115	Buala	0	SB	1504946111	96	-8.14	159.59	79.74	4.63
116	Hirara	40	JP	1504940400	66	24.8	125.28	91.4	9.17
117	Mathura	40	IN	1504942200	47	27.5	77.68	96.8	8.05
118	Sargatskoye	76	RU	1504946112	51	55.61	73.5	58.23	10.45
119	Oktyabrskiy	36	RU	1504946112	82	54.48	53.47	58.32	15.59
120	Avarua	75	CK	1504944000	68	-21.21	-159.78	69.8	4.7
121	Rosarito	90	MX	1504943760	77	32.33	-117.03	73.4	5.82
122	Norman Wells	20	CA	1504944000	93	65.28	-126.83	42.8	4.7
123	Bethel	1	US	1504943760	93	41.37	-73.41	55.4	5.75
124	Amparihy	20	MG	1504944000	65	-25.02	46.97	77.0	28.86
125	Provideniya	92	RU	1504946114	100	64.38	-173.3	46.17	4.52
126	Saint-Philippe	0	RE	1504944000	65	-21.36	55.77	78.8	24.16
127	Fecamp	92	FR	1504944000	87	49.76	0.37	55.4	10.29
128	Arraial do Cabo	0	BR	1504946106	93	-22.97	-42.03	68.58	19.51
129	Port Alfred	64	ZA	1504946081	86	-33.59	26.89	64.71	3.18
130	Lebu	0	CL	1504946115	100	-37.62	-73.65	48.24	27.78
131	Peniche	75	PT	1504944000	88	39.36	-9.38	66.2	10.29
132	Praia da Vitoria	40	PT	1504944000	88	38.73	-27.07	69.8	6.93
133	Pandan	56	PH	1504946116	100	14.05	124.17	84.51	7.65
134	Bluff	68	NZ	1504946093	100	-46.6	168.33	47.88	10.78
135	Broome	0	AU	1504944000	25	-17.97	122.23	86.0	12.75
136	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
137	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
138	Grants Pass	90	US	1504943760	93	42.44	-123.33	66.2	2.06
139	Kruisfontein	0	ZA	1504946117	75	-34.0	24.73	65.34	3.4
140	Hermanus	8	ZA	1504946088	65	-34.42	19.23	61.11	3.74
141	Qeshm	40	IR	1504944000	67	26.96	56.27	95.0	13.87
142	Jamestown	90	US	1504944720	100	42.1	-79.24	51.8	2.84
143	Sharjah	0	AE	1504944000	23	25.36	55.4	105.8	5.82
144	Buribay	32	RU	1504946118	64	51.96	58.16	63.27	17.49
145	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
146	Vaini	75	TO	1504944000	94	-21.2	-175.2	71.6	6.98
147	Coquimbo	75	CL	1504944000	71	-29.95	-71.34	51.8	2.24
148	Al Wasitah	0	EG	1504946119	61	29.34	31.21	86.22	11.45
149	Janakpur Zone	92	NP	1504946119	76	27.33	86.0	74.61	2.17
150	Myaundzha	92	RU	1504946120	99	63.05	147.19	43.83	3.06
151	Albany	1	US	1504943640	93	42.65	-73.76	53.6	5.82
152	Butaritari	56	KI	1504946120	100	3.07	172.79	83.34	9.78
153	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
154	Busselton	24	AU	1504946094	95	-33.65	115.33	62.82	10.78
155	Hermanus	8	ZA	1504946088	65	-34.42	19.23	61.11	3.74
156	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
157	Saint Anthony	1	US	1504944900	76	45.02	-93.22	55.4	3.36
158	Neuquen	0	AR	1504944000	61	-38.95	-68.06	46.4	6.93
159	Atuona	80	PF	1504946086	100	-9.8	-139.03	80.19	16.26
160	Haverfordwest	68	GB	1504943400	82	51.8	-4.97	57.2	19.46
161	Toliara	0	MG	1504946122	46	-23.35	43.67	85.5	5.19
162	Anadyr	75	RU	1504944000	76	64.75	177.48	57.2	11.18
163	Labuhan	0	ID	1504946123	100	-6.88	112.21	82.71	13.91
164	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
165	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
166	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
167	Hithadhoo	8	MV	1504946091	100	-0.6	73.08	83.52	11.56
168	Leningradskiy	92	RU	1504946124	94	69.38	178.42	40.86	10.78
169	Nantucket	1	US	1504944900	77	41.28	-70.1	60.8	4.7
170	Kapaa	75	US	1504943760	74	22.08	-159.32	80.6	12.75
171	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
172	Talaya	0	RU	1504946125	50	61.38	152.75	54.27	6.64
173	Albany	1	US	1504943640	93	42.65	-73.76	53.6	5.82
174	Meulaboh	36	ID	1504946125	100	4.14	96.13	82.44	7.31
175	Iqaluit	90	CA	1504940400	86	63.75	-68.51	39.2	19.46
176	Puerto Ayora	80	EC	1504946090	100	-0.74	-90.35	67.41	11.68
177	Miri	75	MY	1504944000	79	4.41	114.01	86.0	9.17
178	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
179	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
180	Port Elizabeth	20	ZA	1504944000	68	-33.92	25.57	66.2	4.7
181	Darhan	92	MN	1504946127	99	49.49	105.92	41.76	13.69
182	Fortuna	90	US	1504943700	100	40.6	-124.16	59.0	5.82
183	Krasnyy Bor	0	RU	1504944000	77	59.68	30.67	59.0	8.95
184	Kambove	0	CD	1504946128	32	-10.88	26.6	80.46	8.99
185	Kieta	80	PG	1504946128	93	-6.22	155.63	80.37	4.18
186	Oum Hadjer	0	TD	1504946128	57	13.3	19.7	91.26	9.55
187	Paamiut	44	GL	1504946105	100	61.99	-49.67	38.79	25.1
188	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
189	Labuhan	0	ID	1504946123	100	-6.88	112.21	82.71	13.91
190	Ibara	75	JP	1504940400	54	34.6	133.47	80.6	5.82
191	Carnarvon	0	AU	1504946102	79	-24.87	113.63	70.11	6.98
192	Luderitz	0	NA	1504946130	89	-26.65	15.16	60.03	12.24
193	Ravar	0	IR	1504946024	14	31.27	56.81	91.71	4.18
194	Horki	0	BY	1504944000	77	54.29	30.98	60.8	8.95
195	Salyan	80	NP	1504946130	65	28.38	82.17	84.06	2.95
196	Lohja	75	FI	1504945200	100	60.25	24.07	53.6	13.87
197	Mathura	40	IN	1504942200	47	27.5	77.68	96.8	8.05
198	Bluff	68	NZ	1504946093	100	-46.6	168.33	47.88	10.78
199	Nanjangud	40	IN	1504944000	65	12.12	76.68	82.4	6.93
200	Nishihara	40	JP	1504944000	74	26.18	127.76	91.4	6.93
201	East London	40	ZA	1504945080	64	-33.02	27.91	69.8	5.82
202	Konstantinovka	0	RU	1504946132	57	49.62	127.98	60.84	9.44
203	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
204	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
205	Bulaevo	88	KZ	1504946133	52	54.91	70.44	61.56	16.26
206	Kodiak	1	US	1504943580	76	57.79	-152.41	51.8	9.17
207	Tautira	20	PF	1504944000	78	-17.73	-149.15	75.2	3.36
208	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
209	ByWard Market	75	CA	1504944000	76	45.43	-75.69	51.8	11.41
210	Praia da Vitoria	40	PT	1504944000	88	38.73	-27.07	69.8	6.93
211	Tual	12	ID	1504946134	94	-5.67	132.75	81.27	10.45
212	Pisco	90	PE	1504944000	82	-13.7	-76.22	62.6	5.82
213	Mathura	40	IN	1504942200	47	27.5	77.68	96.8	8.05
214	Tasiilaq	92	GL	1504943400	91	65.61	-37.64	41.0	24.16
215	Victoria	75	CA	1504944000	48	48.43	-123.37	62.6	8.05
216	Cape Town	20	ZA	1504944000	63	-33.93	18.42	62.6	17.22
217	Mathura	40	IN	1504942200	47	27.5	77.68	96.8	8.05
218	Butaritari	56	KI	1504946120	100	3.07	172.79	83.34	9.78
219	Kokstad	0	ZA	1504946136	32	-30.55	29.42	73.44	2.73
220	Namatanai	32	PG	1504946136	100	-3.67	152.43	82.89	8.21
221	Tsiombe	0	MG	1504946136	29	-25.3	45.48	90.9	9.22
222	Anadyr	75	RU	1504944000	76	64.75	177.48	57.2	11.18
223	Hasaki	75	JP	1504942200	57	35.73	140.83	78.8	10.29
224	Victoria	75	CA	1504944000	48	48.43	-123.37	62.6	8.05
225	Moosonee	20	CA	1504944000	100	51.28	-80.63	42.8	8.05
226	Usinsk	12	RU	1504946138	82	65.99	57.53	43.38	13.24
227	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
228	Marakkanam	0	IN	1504946138	87	12.2	79.95	87.12	8.1
229	Yellowknife	5	CA	1504944000	76	62.46	-114.35	50.0	11.41
230	Ixtapa	75	MX	1504943760	94	20.7	-105.2	80.6	2.17
231	Salalah	75	OM	1504943400	62	17.02	54.09	86.0	12.75
232	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
233	Amparihy	20	MG	1504944000	65	-25.02	46.97	77.0	28.86
234	Bredasdorp	48	ZA	1504944000	59	-34.53	20.04	62.6	3.62
235	Kant	0	IN	1504946139	56	27.8	79.8	95.58	10.67
236	Bluff	68	NZ	1504946093	100	-46.6	168.33	47.88	10.78
237	Kungurtug	76	RU	1504946140	57	50.6	97.52	40.14	6.87
238	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
239	Saquena	12	PE	1504946140	98	-4.67	-73.52	72.27	2.62
240	Belmonte	75	BR	1504944000	100	-15.86	-38.88	66.2	5.82
241	Dalton	0	ZA	1504946141	49	-29.34	30.63	73.71	3.18
242	Saint-Augustin	0	CA	1504946141	100	51.23	-58.65	47.52	9.89
243	Ushuaia	75	AR	1504944000	44	-54.8	-68.3	41.0	19.46
244	Rikitea	92	PF	1504946085	100	-23.12	-134.97	70.65	5.3
245	Kodiak	1	US	1504943580	76	57.79	-152.41	51.8	9.17
246	Hobart	20	AU	1504944000	53	-42.88	147.33	51.8	12.75
247	Port Alfred	64	ZA	1504946081	86	-33.59	26.89	64.71	3.18
248	Castro	32	BR	1504945844	81	-24.79	-50.01	51.12	2.51
249	Buzuluk	0	RU	1504946143	71	52.78	52.26	63.81	15.03
250	Safford	75	US	1504943460	56	32.83	-109.71	73.4	3.36
251	Hilo	90	US	1504944480	94	19.73	-155.09	71.6	5.82
252	Vaini	75	TO	1504944000	94	-21.2	-175.2	71.6	6.98
253	Pestretsy	90	RU	1504944000	76	55.75	49.65	57.2	15.66
254	Bredasdorp	48	ZA	1504944000	59	-34.53	20.04	62.6	3.62
255	Hobart	20	AU	1504944000	53	-42.88	147.33	51.8	12.75
256	Seoul	24	KR	1504944000	57	37.57	126.98	84.2	9.17
257	Vaini	75	TO	1504944000	94	-21.2	-175.2	71.6	6.98
258	Chifeng	12	CN	1504946145	62	42.27	118.96	74.34	9.22
259	Krasnyy Bor	0	RU	1504944000	77	59.68	30.67	59.0	8.95
260	Bredasdorp	48	ZA	1504944000	59	-34.53	20.04	62.6	3.62
261	Taoudenni	0	ML	1504946145	13	22.68	-3.98	96.93	7.54
262	Hobart	20	AU	1504944000	53	-42.88	147.33	51.8	12.75
263	Chuy	100	UY	1504946146	97	-33.7	-53.46	61.29	11.01
264	Bredasdorp	48	ZA	1504944000	59	-34.53	20.04	62.6	3.62
265	Punta Arenas	75	CL	1504944000	69	-53.15	-70.92	33.8	19.46
